follower timers, time to elect
12.000000 - 24.000000, 2180,
12.000000 - 24.000000, 1323,
12.000000 - 24.000000, 1825,
12.000000 - 24.000000, 2302,
12.000000 - 24.000000, 985,
12.000000 - 24.000000, 5279,
12.000000 - 24.000000, 2215,
12.000000 - 24.000000, 1285,
12.000000 - 24.000000, 2617,
12.000000 - 24.000000, 2657,
25.000000 - 50.000000, 4970,
25.000000 - 50.000000, 2351,
25.000000 - 50.000000, 1914,
25.000000 - 50.000000, 1665,
25.000000 - 50.000000, 3341,
25.000000 - 50.000000, 4616,
25.000000 - 50.000000, 4007,
25.000000 - 50.000000, 2852,
25.000000 - 50.000000, 2004,
25.000000 - 50.000000, 4413,
50.000000 - 100.000000, 1722,
50.000000 - 100.000000, 7613,
50.000000 - 100.000000, 4742,
50.000000 - 100.000000, 4358,
50.000000 - 100.000000, 10283,
50.000000 - 100.000000, 1960,
50.000000 - 100.000000, 20433,
50.000000 - 100.000000, 5745,
50.000000 - 100.000000, 5044,
50.000000 - 100.000000, 1650,
100.000000 - 200.000000, 4360,
100.000000 - 200.000000, 5389,
100.000000 - 200.000000, 3160,
100.000000 - 200.000000, 4114,
100.000000 - 200.000000, 6922,
100.000000 - 200.000000, 4121,
100.000000 - 200.000000, 5720,
100.000000 - 200.000000, 28146,
100.000000 - 200.000000, 2181,
100.000000 - 200.000000, 2412,
150.000000 - 151.000000, 20040,
150.000000 - 151.000000, 3258,
150.000000 - 151.000000, 7253,
150.000000 - 151.000000, 19529,
150.000000 - 151.000000, 1530,
150.000000 - 151.000000, 7264,
150.000000 - 151.000000, 6593,
150.000000 - 151.000000, 5471,
150.000000 - 151.000000, 8602,
150.000000 - 151.000000, 8064,
150.000000 - 155.000000, 13502,
150.000000 - 155.000000, 6014,
150.000000 - 155.000000, 12231,
150.000000 - 155.000000, 14914,
150.000000 - 155.000000, 7604,
150.000000 - 155.000000, 3589,
150.000000 - 155.000000, 2345,
150.000000 - 155.000000, 16940,
150.000000 - 155.000000, 11597,
150.000000 - 155.000000, 11191,
150.000000 - 175.000000, 8754,
150.000000 - 175.000000, 4295,
150.000000 - 175.000000, 6163,
150.000000 - 175.000000, 12631,
150.000000 - 175.000000, 2588,
150.000000 - 175.000000, 1998,
150.000000 - 175.000000, 7285,
150.000000 - 175.000000, 7169,
150.000000 - 175.000000, 13134,
150.000000 - 175.000000, 9664,
150.000000 - 200.000000, 6028,
150.000000 - 200.000000, 8498,
150.000000 - 200.000000, 5412,
150.000000 - 200.000000, 8571,
150.000000 - 200.000000, 2423,
150.000000 - 200.000000, 2788,
150.000000 - 200.000000, 11094,
150.000000 - 200.000000, 4828,
150.000000 - 200.000000, 2915,
150.000000 - 200.000000, 21634,
150.000000 - 300.000000, 12578,
150.000000 - 300.000000, 23298,
150.000000 - 300.000000, 11092,
150.000000 - 300.000000, 3518,
150.000000 - 300.000000, 9238,
150.000000 - 300.000000, 5064,
150.000000 - 300.000000, 16353,
150.000000 - 300.000000, 2021,
150.000000 - 300.000000, 21115,
150.000000 - 300.000000, 23711,
